Type,Benefit per order,Sales per customer,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,product id,Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order Status
debit,24.53,52.19,Probolinggo,Indonesia,8,11/22/2015,22297,365,55831,0.47,1,59.99000168,52.19,24.53,southeast asia,complete
transfer,74.36,220,Ayacucho,Perú,27,2/9/2017,52772,502,131932,0.34,5,250,220,74.36,south america,suspected fraud
payment,-215.48,293.97,Oakland,Estados Unidos,47,5/20/2016,34631,191,86490,-0.73,3,299.9700012,293.97,-215.48,west of usa,pending payment
debit,40.22,118.29,Port Macquarie,Australia,88,3/3/2016,29283,403,73253,0.34,1,129.9900055,118.29,40.22,oceania,complete
transfer,-284.53,167.37,Peoria,Estados Unidos,122,5/5/2016,33607,365,83892,-1.7,3,179.9700012,167.37,-284.53,west of usa,suspected fraud
transfer,186.22,387.96,Dar es Salaam,Tanzania,125,8/30/2016,41590,191,103813,0.48,4,399.9599915,387.96,186.22,east africa,suspected fraud
transfer,-140,200,Holguín,Cuba,138,4/20/2017,57598,502,144075,-0.7,5,250,200,-140,caribbean,pending
transfer,33.59,167.96,Limeira,Brasil,155,5/14/2017,59226,627,148243,0.2,5,199.9499969,167.96,33.59,south america,processing
debit,64.17,205,Nairobi,Kenia,185,11/26/2016,47647,502,119125,0.31,5,250,205,64.17,east africa,complete
debit,-73.7,110.49,Sydney,Australia,241,12/9/2015,23456,403,58688,-0.67,1,129.9900055,110.49,-73.7,oceania,complete
transfer,65.51,167.98,Tegucigalpa,Honduras,242,1/30/2015,1991,191,4973,0.39,2,199.9799957,167.98,65.51,central america,suspected fraud
transfer,20.48,232.76,London,Reino Unido,341,6/25/2017,62086,365,155234,0.09,4,239.9600067,232.76,20.48,northern europe,pending
transfer,85.56,186,Genk,Bélgica,394,8/13/2017,65439,502,163539,0.46,4,200,186,85.56,western europe,canceled
debit,53.98,119.96,Casablanca,Marruecos,397,9/1/2016,41786,977,104311,0.45,5,149.9499969,119.96,53.98,north africa,complete
transfer,127.48,254.96,Guantánamo,Cuba,437,4/1/2017,56244,365,140672,0.5,5,299.9500122,254.96,127.48,caribbean,suspected fraud
debit,114.79,409.96,Madrid,España,442,7/24/2017,64066,191,160184,0.28,5,499.9500122,409.96,114.79,southern europe,complete
transfer,41.06,131.17,Helsinki,Finlandia,467,9/4/2017,66958,627,167369,0.31,4,159.9600067,131.17,41.06,northern europe,canceled
transfer,3.04,79.97,Gagnoa,Costa de Marfil,474,9/3/2016,41901,905,104591,0.04,4,99.95999908,79.97,3.04,west africa,canceled
debit,-11.07,128.69,Turku,Finlandia,487,6/8/2015,10831,403,27107,-0.09,1,129.9900055,128.69,-11.07,northern europe,complete
debit,19.84,56.69,Perth,Australia,489,3/15/2016,30097,365,75233,0.35,1,59.99000168,56.69,19.84,oceania,complete
transfer,54.42,113.38,Durg,India,532,11/13/2015,21691,365,54260,0.48,2,119.9800034,113.38,54.42,south asia,pending
debit,86.99,299.95,Florence,Italia,558,6/16/2015,11391,365,28483,0.29,5,299.9500122,299.95,86.99,southern europe,complete
transfer,111.35,383.96,Cagliari,Italia,569,7/21/2017,63907,191,159751,0.29,4,399.9599915,383.96,111.35,southern europe,pending
debit,106.54,287.95,Torrevieja,España,581,7/17/2017,63576,365,158916,0.37,5,299.9500122,287.95,106.54,southern europe,complete
transfer,19.13,85,Huehuetenango,Guatemala,629,5/22/2015,9681,502,24177,0.23,2,100,85,19.13,central america,processing
